"","colony","62019","102019","52022","122022","92023","112023","122023","22024","42024","62024","82024"
"1","1_2","062019_BEL_CBC_T1_1_PAST",NA,"052022_BEL_CBC_T1_1_PAST","122022_BEL_CBC_T1_158_PAST","092023_BEL_CBC_T1_171_PAST","112023_BEL_CBC_T1_273_PAST","122023_BEL_CBC_T1_506_PAST","022024_Belize_CBC_T1_771_PAST",NA,"062024_BEL_CBC_T1_1356_PAST","082024_BEL_CBC_T1_1479_PAST"
"2","1_3","062019_BEL_CBC_T1_5_SSID",NA,"052022_BEL_CBC_T1_2_SSID","122022_BEL_CBC_T1_156_SSID","092023_BEL_CBC_T1_173_SSID","112023_BEL_CBC_T1_275_SSID","122023_BEL_CBC_T1_508_SSID","022024_Belize_CBC_T1_773_SSID","042024_BEL_CBC_T1_932_SSID 042024_BEL_CBC_T1_931_SSID","062024_BEL_CBC_T1_1341_SSID 062024_BEL_CBC_T1_1344_SSID","082024_BEL_CBC_T1_1480_SSID"
"3","1_12",NA,"102019_BEL_CBC_T1_29_PSTR","052022_BEL_CBC_T1_55_PSTR","122022_BEL_CBC_T1_122_PSTR","092023_BEL_CBC_T1_177_PSTR","112023_BEL_CBC_T1_278_PSTR","122023_BEL_CBC_T1_510_PSTR","022024_Belize_CBC_T1_776_PSTR","042024_BEL_CBC_T1_927_PSTR","062024_BEL_CBC_T1_1350_PSTR","082024_BEL_CBC_T1_1481_PSTR"
"4","1_13","062019_BEL_CBC_T1_12_PAST",NA,"052022_BEL_CBC_T1_53_PAST","122022_BEL_CBC_T1_152_PAST","092023_BEL_CBC_T1_175_PAST",NA,NA,NA,NA,NA,NA
"5","1_21","062019_BEL_CBC_T1_21_PAST",NA,"052022_BEL_CBC_T1_34_PAST","122022_BEL_CBC_T1_150_PAST","092023_BEL_CBC_T1_172_PAST","112023_BEL_CBC_T1_274_PAST","122023_BEL_CBC_T1_507_PAST",NA,"042024_BEL_CBC_T1_929_PAST",NA,NA
"6","1_24","062019_BEL_CBC_T1_22_MCAV",NA,"052022_BEL_CBC_T1_62_MCAV 052022_BEL_CBC_T1_54_MCAV","122022_BEL_CBC_T1_151_MCAV","092023_BEL_CBC_T1_174_MCAV","112023_BEL_CBC_T1_276_MCAV","122023_BEL_CBC_T1_509_MCAV","022024_Belize_CBC_T1_774_MCAV","042024_BEL_CBC_T1_924_MCAV","062024_BEL_CBC_T1_1353_MCAV","082024_BEL_CBC_T1_1483_MCAV"
"7","1_25",NA,NA,"052022_BEL_CBC_T1_63_OFAV","122022_BEL_CBC_T1_123_OANN","092023_BEL_CBC_T1_178_OANN","112023_BEL_CBC_T1_277_OFAV/OANN","122023_BEL_CBC_T1_511_OFAV/OANN","022024_Belize_CBC_T1_775_OANN","042024_BEL_CBC_T1_928_OANN","062024_BEL_CBC_T1_1347_OANN","082024_BEL_CBC_T1_1482_OANN"
"8","2_55","062019_BEL_CBC_T2_23_MCAV",NA,"052022_BEL_CBC_T2_12_MCAV","122022_BEL_CBC_T2_88_MCAV","092023_BEL_CBC_T2_183_MCAV","112023_BEL_CBC_T2_310_MCAV","122023_BEL_CBC_T2_518_MCAV","022024_Belize_CBC_T2_813_MCAV","042024_BEL_CBC_T2_1016_MCAV","062024_BEL_CBC_T2_1384_MCAV","082024_BEL_CBC_T2_1514_MCAV"
"9","2_57","062019_BEL_CBC_T2_21_PAST",NA,"052022_BEL_CBC_T2_11_PAST","122022_BEL_CBC_T2_83_PAST","092023_BEL_CBC_T2_182_PAST","112023_BEL_CBC_T2_309_PAST","122023_BEL_CBC_T2_520_PAST","022024_Belize_CBC_T2_812_PAST","042024_BEL_CBC_T2_1018_PAST","062024_BEL_CBC_T2_1393_PAST","082024_BEL_CBC_T2_1513_PAST"
"10","2_60","062019_BEL_CBC_T2_16_MCAV",NA,"052022_BEL_CBC_T2_10_MCAV","122022_BEL_CBC_T2_86_MCAV","092023_BEL_CBC_T2_184_MCAV","112023_BEL_CBC_T2_311_MCAV","122023_BEL_CBC_T2_522_MCAV","022024_Belize_CBC_T2_814_MCAV","042024_BEL_CBC_T2_1017_MCAV","062024_BEL_CBC_T2_1402_MCAV","082024_BEL_CBC_T2_1515_MCAV"
"11","2_63","062019_BEL_CBC_T2_25_PAST",NA,"052022_BEL_CBC_T2_9_PAST","122022_BEL_CBC_T2_100_PAST","092023_BEL_CBC_T2_181_PAST","112023_BEL_CBC_T2_308_SSID","122023_BEL_CBC_T2_519_PAST","022024_Belize_CBC_T2_811_PAST","042024_BEL_CBC_T2_1028_PAST","062024_BEL_CBC_T2_1399_PAST","082024_BEL_CBC_T2_1512_PAST"
"12","2_68","062019_BEL_CBC_T2_2_PAST",NA,"052022_BEL_CBC_T2_5_PAST","122022_BEL_CBC_T2_94_PAST","092023_BEL_CBC_T2_175_PAST","112023_BEL_CBC_T2_305_PAST","122023_BEL_CBC_T2_515_PAST","022024_Belize_CBC_T2_808_PAST","042024_BEL_CBC_T2_1027_PAST","062024_BEL_CBC_T2_1378_PAST","082024_BEL_CBC_T2_1510_PAST"
"13","2_69","062019_BEL_CBC_T2_18_MCAV",NA,"052022_BEL_CBC_T2_4_MCAV","122022_BEL_CBC_T2_92_MCAV","092023_BEL_CBC_T2_176_MCAV","112023_BEL_CBC_T2_306_MCAV","122023_BEL_CBC_T2_516_MCAV","022024_Belize_CBC_T2_809_MCAV","042024_BEL_CBC_T2_1144_MCAV","062024_BEL_CBC_T2_1396_MCAV","082024_BEL_CBC_T2_1517_MCAV"
"14","2_72","062019_BEL_CBC_T2_26_SSID",NA,"052022_BEL_CBC_T2_3_SSID","122022_BEL_CBC_T2_96_SSID","092023_BEL_CBC_T2_174_SSID","112023_BEL_CBC_T2_313_SSID","122023_BEL_CBC_T2_514_SSID","022024_Belize_CBC_T2_805_SSID 022024_Belize_CBC_T2_806_SSID","042024_BEL_CBC_T2_1040_SSID","062024_BEL_CBC_T2_1369_SSID","082024_BEL_CBC_T2_1509_SSID"
"15","2_73","062019_BEL_CBC_T2_17_SSID",NA,"052022_BEL_CBC_T2_1_SSID","122022_BEL_CBC_T2_90_SSID","092023_BEL_CBC_T2_173_SSID","112023_BEL_CBC_T2_314_SSID","122023_BEL_CBC_T2_513_SSID","022024_Belize_CBC_T2_807_SSID","042024_BEL_CBC_T2_1025_SSID","062024_BEL_CBC_T2_1375_SSID","082024_BEL_CBC_T2_1508_SSID"
"16","2_76",NA,NA,"052022_BEL_CBC_T2_59_OFAV","122022_BEL_CBC_T2_93_OFAV","092023_BEL_CBC_T2_172_OFAV","112023_BEL_CBC_T2_304_OFAV","122023_BEL_CBC_T2_512_OFAV","022024_Belize_CBC_T2_804_OFAV","042024_BEL_CBC_T2_1026_OFAV","062024_BEL_CBC_T2_1372_OFAV","082024_BEL_CBC_T2_1507_OFAV"
"17","2_79",NA,NA,"052022_BEL_CBC_T2_71_OFAV","122022_BEL_CBC_T2_87_OFAV","092023_BEL_CBC_T2_171_OFAV","112023_BEL_CBC_T2_312_OFAV","122023_BEL_CBC_T2_521_OFAV","022024_Belize_CBC_T2_815_OFAV","042024_BEL_CBC_T2_1014_OFAV","062024_BEL_CBC_T2_1387_OFAV","082024_BEL_CBC_T2_1516_OFAV"
"18","2_99",NA,NA,NA,NA,"092023_BEL_CBC_T2_179_SSID","112023_BEL_CBC_T2_307_SSID","122023_BEL_CBC_T2_517_SSID","022024_Belize_CBC_T2_810_SSID","042024_BEL_CBC_T2_1034_SSID 042024_BEL_CBC_T2_1035_SSID","062024_BEL_CBC_T2_1381_SSID","082024_BEL_CBC_T2_1511_SSID"
"19","3_2","062019_BEL_CBC_T3_1_MCAV",NA,"052022_BEL_CBC_T3_1_MCAV","122022_BEL_CBC_T3_119_MCAV","092023_BEL_CBC_T3_176_MCAV","112023_BEL_CBC_T3_347_MCAV","122023_BEL_CBC_T3_523_MCAV","022024_Belize_CBC_T3_842_MCAV 022024_Belize_CBC_T3_843_MCAV","042024_BEL_CBC_T3_956_MCAV","062024_BEL_CBC_T3_1412_MCAV 062024_BEL_CBC_T3_1415_MCAV","082024_BEL_CBC_T3_1553_MCAV"
"20","3_5","062019_BEL_CBC_T3_5_SSID",NA,"052022_BEL_CBC_T3_6_SSID","122022_BEL_CBC_T3_120_SSID","092023_BEL_CBC_T3_177_SSID","112023_BEL_CBC_T3_348_SSID","122023_BEL_CBC_T3_526_SSID","022024_Belize_CBC_T3_845_SSID","042024_BEL_CBC_T3_959_SSID","062024_BEL_CBC_T3_1418_SSID","082024_BEL_CBC_T3_1555_SSID"
"21","3_6","062019_BEL_CBC_T3_4_PAST",NA,"052022_BEL_CBC_T3_11_PAST","122022_BEL_CBC_T3_116_PAST","092023_BEL_CBC_T3_178_PAST","112023_BEL_CBC_T3_349_PAST","122023_BEL_CBC_T3_525_PAST",NA,NA,NA,NA
"22","3_10","062019_BEL_CBC_T3_7_PAST",NA,"052022_BEL_CBC_T3_8_PAST","122022_BEL_CBC_T3_123_PAST","092023_BEL_CBC_T3_181_PAST","112023_BEL_CBC_T3_352_PAST","122023_BEL_CBC_T3_528_PAST ","022024_Belize_CBC_T3_847_PAST",NA,"062024_BEL_CBC_T3_1424_PAST","082024_BEL_CBC_T3_1557_PAST"
"23","3_14","062019_BEL_CBC_T3_8_MCAV",NA,"052022_BEL_CBC_T3_13_MCAV","122022_BEL_CBC_T3_142_MCAV","092023_BEL_CBC_T3_175_MCAV","112023_BEL_CBC_T3_353_MCAV","122023_BEL_CBC_T3_529_MCAV","022024_Belize_CBC_T3_848_MCAV","042024_BEL_CBC_T3_953_MCAV","062024_BEL_CBC_T3_1427_MCAV","082024_BEL_CBC_T3_1558_MCAV"
"24","3_20",NA,"102019_BEL_CBC_T3_35_PSTR","052022_BEL_CBC_T3_15_PSTR","122022_BEL_CBC_T3_141_PSTR","092023_BEL_CBC_T3_172_PSTR","112023_BEL_CBC_T3_354_PSTR","122023_BEL_CBC_T3_530_PSTR","022024_Belize_CBC_T3_849_PSTR","042024_BEL_CBC_T3_950_PSTR","062024_BEL_CBC_T3_1430_PSTR","082024_BEL_CBC_T3_1559_PSTR"
"25","3_21","062019_BEL_CBC_T3_16_MCAV",NA,"052022_BEL_CBC_T3_19_MCAV","122022_BEL_CBC_T3_128_MCAV","092023_BEL_CBC_T3_182_MCAV","112023_BEL_CBC_T3_356_MCAV","122023_BEL_CBC_T3_532_MCAV","022024_Belize_CBC_T3_850_MCAV","042024_BEL_CBC_T3_947_MCAV","062024_BEL_CBC_T3_1436_MCAV","082024_BEL_CBC_T3_1561_MCAV"
"26","3_33","062019_BEL_CBC_T3_27_SSID",NA,"052022_BEL_CBC_T3_16_SSID","122022_BEL_CBC_T3_126_SSID","092023_BEL_CBC_T3_183_SSID","112023_BEL_CBC_T3_358_SSID","122023_BEL_CBC_T3_534_SSID","022024_Belize_CBC_T3_853_SSID","042024_BEL_CBC_T3_944_SSID","062024_BEL_CBC_T3_1445_SSID","082024_BEL_CBC_T3_1563_SSID"
"27","3_38",NA,NA,"052022_BEL_CBC_T3_66_OFAV","122022_BEL_CBC_T3_121_OFAV","092023_BEL_CBC_T3_174_OFAV","112023_BEL_CBC_T3_350_OFAV","122023_BEL_CBC_T3_524_OFAV","022024_Belize_CBC_T3_844_OFAV","042024_BEL_CBC_T3_955_OFAV","062024_BEL_CBC_T3_1421_OFAV","082024_BEL_CBC_T3_1554_OANN"
"28","3_39",NA,NA,"052022_BEL_CBC_T3_65_OFAV","122022_BEL_CBC_T3_127_OFAV","092023_BEL_CBC_T3_171_OFAV","112023_BEL_CBC_T3_357_OFAV","122023_BEL_CBC_T3_533_OFAV","022024_Belize_CBC_T3_852_OFAV","042024_BEL_CBC_T3_946_OFAV","062024_BEL_CBC_T3_1442_OFAV","082024_BEL_CBC_T3_1562_OFAV"
"29","3_66",NA,NA,NA,NA,"092023_BEL_CBC_T3_173_OFAV","112023_BEL_CBC_T3_351_OFAV","122023_BEL_CBC_T3_527_OFAV",NA,"042024_BEL_CBC_T3_960_OFAV","062024_BEL_CBC_T3_1439_OFAV ","082024_BEL_CBC_T3_1556_OFAV"
"30","3_70",NA,NA,NA,"122022_BEL_CBC_T3_151_PSTR","092023_BEL_CBC_T3_195_PSTR","112023_BEL_CBC_T3_355_PSTR","122023_BEL_CBC_T3_531_PSTR","022024_Belize_CBC_T3_851_PSTR","042024_BEL_CBC_T3_949_PSTR","062024_BEL_CBC_T3_1433_PSTR","082024_BEL_CBC_T3_1560_PSTR"
"31","4_28",NA,NA,NA,"122022_BEL_CBC_T4_38_MCAV","092023_BEL_CBC_T4_91_MCAV","112023_BEL_CBC_T4_396_MCAV","122023_BEL_CBC_T4_535_MCAV","022024_Belize_CBC_T4_870_MCAV","042024_BEL_CBC_T4_1047_MCAV","062024_BEL_CBC_T4_1467_MCAV","082024_BEL_CBC_T4_1605_MCAV"
"32","4_30",NA,NA,NA,"122022_BEL_CBC_T4_11_MCAV","092023_BEL_CBC_T4_96_MCAV","112023_BEL_CBC_T4_401_MCAV","122023_BEL_CBC_T4_540_MCAV","022024_Belize_CBC_T4_875_MCAV","042024_BEL_CBC_T4_1041_MCAV","062024_BEL_CBC_T4_1458_MCAV","082024_BEL_CBC_T4_1610_MCAV"
"33","4_76",NA,NA,NA,"122022_BEL_CBC_T4_3_MCAV","092023_BEL_CBC_T4_94_MCAV","112023_BEL_CBC_T4_399_PSTR","122023_BEL_CBC_T4_539_MCAV","022024_Belize_CBC_T4_873_MCAV","042024_BEL_CBC_T4_1045_MCAV","062024_BEL_CBC_T4_1464_MCAV","082024_BEL_CBC_T4_1608_MCAV"
"34","4_78",NA,NA,NA,"122022_BEL_CBC_T4_1_OFAV","092023_BEL_CBC_T4_95_OFAV","112023_BEL_CBC_T4_400_OFAV","122023_BEL_CBC_T4_538_OFAV","022024_Belize_CBC_T4_874_OFAV","042024_BEL_CBC_T4_1042_OFAV","062024_BEL_CBC_T4_1461_OFAV","082024_BEL_CBC_T4_1609_OFAV"
"35","4_79",NA,NA,NA,"122022_BEL_CBC_T4_4_PSTR","092023_BEL_CBC_T4_93_PSTR","112023_BEL_CBC_T4_398_PSTR","122023_BEL_CBC_T4_537_PSTR","022024_Belize_CBC_T4_872_PSTR","042024_BEL_CBC_T4_1044_PSTR","062024_BEL_CBC_T4_1473_PSTR","082024_BEL_CBC_T4_1607_PSTR"
"36","4_98",NA,NA,NA,"122022_BEL_CBC_T4_34_PSTR","092023_BEL_CBC_T4_92_PSTR","112023_BEL_CBC_T4_397_PSTR","122023_BEL_CBC_T4_536_PSTR","022024_Belize_CBC_T4_871_PSTR","042024_BEL_CBC_T4_1046_PSTR","062024_BEL_CBC_T4_1470_PSTR","082024_BEL_CBC_T4_1606_PSTR"
"37","3_34","062019_BEL_CBC_T3_31_PAST",NA,"052022_BEL_CBC_T3_25_PAST","122022_BEL_CBC_T3_124_PAST","092023_BEL_CBC_T3_184_PAST","112023_BEL_CBC_T3_359_PAST","122023_BEL_CBC_T3_479_PAST ","022024_Belize_CBC_T3_854_PAST","042024_BEL_CBC_T3_942_PAST","062024_BEL_CBC_T3_1448_PAST","082024_BEL_CBC_T3_1564_PAST"
