,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,colony,notes
1,022024_BEL_CBC_T1_771_PAST,Healthy,11_22_2024,23.8,UML_NARWHAL_R2_B13,,1_2,
2,022024_BEL_CBC_T1_773_SSID,Healthy,11_22_2024,61.8,UML_NARWHAL_R2_B13,,1_3,
3,022024_BEL_CBC_T1_774_MCAV,Healthy,11_22_2024,31.2,UML_NARWHAL_R2_B13,,1_24,
4,022024_BEL_CBC_T1_775_OANN,Healthy,11_22_2024,13.8,UML_NARWHAL_R2_B13,,1_25,
5,022024_BEL_CBC_T1_776_PSTR,Healthy,11_22_2024,20.2,UML_NARWHAL_R2_B13,,1_12,
6,022024_BEL_CBC_T2_804_OFAV,Healthy,11_22_2024,86.8,UML_NARWHAL_R2_B13,,2_76,
7,022024_BEL_CBC_T2_805_SSID,Diseased_Tissue,9_10_2024,10.2,UML_NARWHAL_R2_B11,,2_72,
8,022024_BEL_CBC_T2_806_SSID,Diseased_Margin,11_4_2024,2.46,UML_NARWHAL_R2_B11,,2_72,
9,022024_BEL_CBC_T2_807_SSID,Healthy,11_22_2024,77.6,UML_NARWHAL_R2_B13,,2_73,
10,022024_BEL_CBC_T2_808_PAST,Healthy,11_22_2024,32,UML_NARWHAL_R2_B13,,2_68,
11,022024_BEL_CBC_T2_809_MCAV,Healthy,11_22_2024,52.6,UML_NARWHAL_R2_B13,,2_69,
12,022024_BEL_CBC_T2_810_SSID,Healthy,11_22_2024,81.2,UML_NARWHAL_R2_B13,,2_99,
13,022024_BEL_CBC_T2_811_PAST,Healthy,11_22_2024,13.5,UML_NARWHAL_R2_B13,,2_63,
14,022024_BEL_CBC_T2_812_PAST,Healthy,11_22_2024,26.6,UML_NARWHAL_R2_B13,,2_57,
15,022024_BEL_CBC_T2_813_MCAV,Healthy,11_22_2024,69,UML_NARWHAL_R2_B13,,2_55,
16,022024_BEL_CBC_T2_814_MCAV,Healthy,11_22_2024,58.2,UML_NARWHAL_R2_B13,,2_60,
17,022024_BEL_CBC_T2_815_OFAV,Healthy,11_22_2024,60.2,UML_NARWHAL_R2_B13,,2_79,
18,022024_BEL_CBC_T3_842_MCAV,Diseased_Tissue,9_10_2024,27,UML_NARWHAL_R2_B11,,3_2,
19,022024_BEL_CBC_T3_843_MCAV,Diseased_Margin,11_4_2024,2.94,UML_NARWHAL_R2_B11,,3_2,
20,022024_BEL_CBC_T3_844_OFAV,Healthy,11_26_2024,110,UML_NARWHAL_R2_B13,,3_38,
21,022024_BEL_CBC_T3_845_SSID,Healthy,11_26_2024,82.6,UML_NARWHAL_R2_B13,,3_5,
22,022024_BEL_CBC_T3_847_PAST,Healthy,11_26_2024,54,UML_NARWHAL_R2_B13,,3_10,
23,022024_BEL_CBC_T3_848_MCAV,Healthy,11_26_2024,59,UML_NARWHAL_R2_B13,,3_14,
24,022024_BEL_CBC_T3_849_PSTR,Healthy,11_26_2024,81,UML_NARWHAL_R2_B13,,3_20,
25,022024_BEL_CBC_T3_850_MCAV,Healthy,11_26_2024,91.5,UML_NARWHAL_R2_B13,,3_21,
26,022024_BEL_CBC_T3_851_PSTR,Healthy,11_26_2024,64.2,UML_NARWHAL_R2_B13,,3_70,
27,022024_BEL_CBC_T3_852_OFAV,Healthy,11_26_2024,49.5,UML_NARWHAL_R2_B13,,3_39,
28,022024_BEL_CBC_T3_853_SSID,Healthy,11_26_2024,34.1,UML_NARWHAL_R2_B13,,3_33,
29,022024_BEL_CBC_T3_854_PAST,Healthy,11_26_2024,36,UML_NARWHAL_R2_B13,,3_34,
30,022024_BEL_CBC_T4_870_MCAV,Healthy,11_26_2024,41.4,UML_NARWHAL_R2_B13,,4_28,
31,022024_BEL_CBC_T4_871_PSTR,Healthy,11_26_2024,91.4,UML_NARWHAL_R2_B13,,4_98,
32,022024_BEL_CBC_T4_872_PSTR,Healthy,11_26_2024,23.4,UML_NARWHAL_R2_B13,,4_79,
33,022024_BEL_CBC_T4_873_MCAV,Healthy,11_26_2024,81.4,UML_NARWHAL_R2_B13,,4_76,
34,022024_BEL_CBC_T4_874_OFAV,Healthy,11_26_2024,35.9,UML_NARWHAL_R2_B13,,4_78,
35,022024_BEL_CBC_T4_875_MCAV,Healthy,11_26_2024,39,UML_NARWHAL_R2_B13,,4_30,
36,042024_BEL_CBC_T1_924_MCAV,Healthy,12_2_2024,40.4,UML_NARWHAL_R2_B14,,1_24,
37,042024_BEL_CBC_T1_927_PSTR,Healthy,12_2_2024,24.7,UML_NARWHAL_R2_B14,,1_12,
38,042024_BEL_CBC_T1_928_OANN,Healthy,12_2_2024,14.9,UML_NARWHAL_R2_B14,,1_25,
39,042024_BEL_CBC_T1_929_PAST,Healthy,12_2_2024,34.4,UML_NARWHAL_R2_B14,,1_21,
40,042024_BEL_CBC_T1_931_SSID,Diseased_Tissue,9_9_2024,33.2,UML_NARWHAL_R2_B11,,1_3,
41,042024_BEL_CBC_T1_932_SSID,Diseased_Margin,11_4_2024,3.14,UML_NARWHAL_R2_B11,,1_3,
42,042024_BEL_CBC_T2_1014_OFAV,Healthy,12_2_2024,59,UML_NARWHAL_R2_B14,,2_79,
43,042024_BEL_CBC_T2_1016_MCAV,Healthy,12_2_2024,47.4,UML_NARWHAL_R2_B14,,2_55,
44,042024_BEL_CBC_T2_1017_MCAV,Healthy,12_2_2024,4.47,UML_NARWHAL_R2_B14,,2_60,
45,042024_BEL_CBC_T2_1018_PAST,Healthy,12_2_2024,25.9,UML_NARWHAL_R2_B14,,2_57,
46,042024_BEL_CBC_T2_1025_SSID,Healthy,12_2_2024,49.8,UML_NARWHAL_R2_B14,,2_73,
47,042024_BEL_CBC_T2_1026_OFAV,Healthy,12_2_2024,72.8,UML_NARWHAL_R2_B14,,2_76,
48,042024_BEL_CBC_T2_1027_PAST,Healthy,12_2_2024,14.7,UML_NARWHAL_R2_B14,,2_68,
49,042024_BEL_CBC_T2_1028_PAST,Healthy,12_2_2024,28.5,UML_NARWHAL_R2_B14,,2_63,
50,042024_BEL_CBC_T2_1034_SSID,Diseased_Tissue,9_9_2024,26,UML_NARWHAL_R2_B11,,2_99,
51,042024_BEL_CBC_T2_1035_SSID,Diseased_Margin,11_4_2024,1.14,UML_NARWHAL_R2_B11,,2_99,
52,042024_BEL_CBC_T2_1040_SSID,Healthy,12_2_2024,52.2,UML_NARWHAL_R2_B14,,2_72,
53,042024_BEL_CBC_T2_1144_MCAV,Healthy,12_2_2024,75.1,UML_NARWHAL_R2_B14,,2_69,
54,042024_BEL_CBC_T3_942_PAST,Healthy,12_3_2024,6.77,UML_NARWHAL_R2_B14,,3_34,
55,042024_BEL_CBC_T3_944_SSID,Healthy,12_3_2024,64.6,UML_NARWHAL_R2_B14,,3_33,
56,042024_BEL_CBC_T3_946_OFAV,Healthy,12_3_2024,56.7,UML_NARWHAL_R2_B14,,3_39,
57,042024_BEL_CBC_T3_947_MCAV,Healthy,12_3_2024,134,UML_NARWHAL_R2_B14,,3_21,
58,042024_BEL_CBC_T3_949_PSTR,Healthy,12_3_2024,9.51,UML_NARWHAL_R2_B14,,3_70,
59,042024_BEL_CBC_T3_950_PSTR,Healthy,12_3_2024,8.85,UML_NARWHAL_R2_B14,,3_20,
60,042024_BEL_CBC_T3_953_MCAV,Healthy,12_3_2024,129,UML_NARWHAL_R2_B14,,3_14,
61,042024_BEL_CBC_T3_955_OFAV,Healthy,12_3_2024,155,UML_NARWHAL_R2_B14,,3_38,
62,042024_BEL_CBC_T3_956_MCAV,Healthy,12_3_2024,12.8,UML_NARWHAL_R2_B14,,3_2,
63,042024_BEL_CBC_T3_959_SSID,Healthy,12_3_2024,21.5,UML_NARWHAL_R2_B14,,3_5,
64,042024_BEL_CBC_T3_960_OFAV,Healthy,12_3_2024,31.8,UML_NARWHAL_R2_B14,,3_66,
65,042024_BEL_CBC_T4_1041_MCAV,Healthy,12_3_2024,53.4,UML_NARWHAL_R2_B14,,4_30,
66,042024_BEL_CBC_T4_1042_OFAV,Healthy,12_3_2024,77.8,UML_NARWHAL_R2_B14,,4_78,
67,042024_BEL_CBC_T4_1044_PSTR,Healthy,12_3_2024,13.2,UML_NARWHAL_R2_B14,,4_79,
68,042024_BEL_CBC_T4_1045_MCAV,Healthy,12_3_2024,70.5,UML_NARWHAL_R2_B14,,4_76,
69,042024_BEL_CBC_T4_1046_PSTR,Healthy,12_3_2024,50.7,UML_NARWHAL_R2_B14,,4_98,
70,042024_BEL_CBC_T4_1047_MCAV,Healthy,12_3_2024,72.4,UML_NARWHAL_R2_B14,,4_28,
71,052022_BEL_CBC_T1_1_PAST,Healthy,2022,39.8,"UML_NARWHAL_R2_B32,  UML_NARWHAL_R2_B35",11_5_2024,1_2,
72,052022_BEL_CBC_T1_2_SSID,Healthy,12_2_2024,7.73,"UML_NARWHAL_R2_B14, UML_NARWHAL_R2_B33",,1_3,
73,052022_BEL_CBC_T1_34_PAST,Healthy,8_19_2024,1.31,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,1_21,
74,052022_BEL_CBC_T1_53_PAST,Healthy,8_19_2024,1.75,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,1_13,
75,052022_BEL_CBC_T1_54_MCAV,Healthy,8_12_2024,0.361,UML_NARWHAL_R2_B26,10_6_2024,1_24,
76,052022_BEL_CBC_T1_55_PSTR,Healthy,6_8_2023,9.4,UML_NARWHAL_R2_B3,10_6_2023,1_12,
77,052022_BEL_CBC_T1_62_MCAV,Healthy,8_12_2024,0.538,UML_NARWHAL_R2_B26,10_6_2024,1_24,
78,052022_BEL_CBC_T1_63_OFAV,Healthy,7_16_2024,9.86,UML_NARWHAL_R2_B26,8_6_2024,1_25,
79,052022_BEL_CBC_T2_1_SSID,Healthy,12_4_2024,33.2,UML_NARWHAL_R2_B15,,2_73,
80,052022_BEL_CBC_T2_10_MCAV,Healthy,2022,7.94,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35",10_30_24,2_60,
81,052022_BEL_CBC_T2_11_PAST,Healthy,6_17_2022,15,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARHWAL_PINK",11_6_2024,2_57,
82,052022_BEL_CBC_T2_12_MCAV,Healthy,8_12_2024,0.902,UML_NARWHAL_R2_B26,10_6_2024,2_55,
83,052022_BEL_CBC_T2_3_SSID,Healthy,1_13_2025,12.1,UML_NARWHAL_R2_B15,,2_72,
84,052022_BEL_CBC_T2_4_MCAV,Healthy,8_12_2024,0.094,UML_NARWHAL_R2_B26,10_6_2024,2_69,
85,052022_BEL_CBC_T2_5_PAST,Healthy,9_11_2024,48.1,UML_NARWHAL_R2_B29,10_6_2024,2_68,
86,052022_BEL_CBC_T2_59_OFAV,Healthy,10_3_2023,73.7,UML_NARWHAL_R2_B3,10_16_2023,2_76,
87,052022_BEL_CBC_T2_71_OFAV,Healthy,10_3_2023,98.8,UML_NARWHAL_R2_B3,10_16_2023,2_79,
88,052022_BEL_CBC_T2_9_PAST,Healthy,9_11_2024,4.32,UML_NARWHAL_R2_B29,9_28_2024,2_63,
89,052022_BEL_CBC_T3_1_MCAV,Healthy,6_15_2022,6,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33",11_5_2024,3_2,
90,052022_BEL_CBC_T3_11_PAST,Healthy,8_19_2024,8.57,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,3_6,PCR enriched  1_30_2025
91,052022_BEL_CBC_T3_13_MCAV,Healthy,6_15_2022,3,UML_NARWHAL_R2_B35,10_30_24,3_14,PCR enriched  1_30_2025
92,052022_BEL_CBC_T3_15_PSTR,Healthy,6_8_2023,13.3,UML_NARWHAL_R2_B3,10_6_2023,3_20,
93,052022_BEL_CBC_T3_16_SSID,Healthy,1_15_2025,21,UML_NARWHAL_R2_B15,,3_33,
94,052022_BEL_CBC_T3_19_MCAV,Healthy,2022,17.4,UML_NARWHAL_R2_B32,10_30_24,3_21,PCR enriched  1_30_2025
95,052022_BEL_CBC_T3_6_SSID,Healthy,12_4_2024,27.9,UML_NARWHAL_R2_B15,,3_5,
96,052022_BEL_CBC_T3_65_OFAV,Healthy,6_21_2023,26.8,UML_NARWHAL_R2_B3,10_11_23,3_39,
97,052022_BEL_CBC_T3_66_OFAV,Healthy,6_21_2023,17.8,UML_NARWHAL_R2_B3,10_11_23,3_38,
98,052022_BEL_CBC_T3_8_PAST,Healthy,2022,4.032,UML_NARWHAL_R2_B32,11_6_2024,3_10,PCR enriched  1_30_2025
99,062019_BEL_CBC_T1_1_PAST,Healthy,2022,2.38,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35",10_30_24,1_2,
100,062019_BEL_CBC_T1_12_PAST,Healthy,9_11_2024,1.08,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,1_13,
101,062019_BEL_CBC_T1_21_PAST,Healthy,8_19_2024,1.9,UML_NARWHAL_R2_B29,10_6_2024,1_21,
102,062019_BEL_CBC_T1_22_MCAV,Healthy,11_26_2024; 2022,34.2; 6.67,UML_NARWHAL_R2_B33,11_5_2024 (from 2022 extract),1_24,PCR enriched  1_30_2025
103,062019_BEL_CBC_T1_5_SSID,Healthy,12_2_2024,20.5,UML_NARWHAL_R2_B14,,1_3,
104,062019_BEL_CBC_T2_16_MCAV,Healthy,9_16_2024,3.19,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_9_2024,2_60,
105,062019_BEL_CBC_T2_17_SSID,Healthy,12_4_2024,3.79,UML_NARWHAL_R2_B15,,2_73,
106,062019_BEL_CBC_T2_18_MCAV,Healthy,12_2_2024,1.61,UML_NARWHAL_R2_B14,,2_69,
107,062019_BEL_CBC_T2_18_MCAV,Healthy,2022,7.26,UML_NARWHAL_R2_B33,11_5_2024,2_69,
108,062019_BEL_CBC_T2_2_PAST,Healthy,9_11_2024,6.77,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,2_68,
109,062019_BEL_CBC_T2_21_PAST,Healthy,9_16_2024,0.841,"UML_NARWHAL_R2_B34, UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",11_6_2024,2_57,
110,062019_BEL_CBC_T2_23_MCAV,Healthy,12_2_2024,3.33,UML_NARWHAL_R2_B14,,2_55,
111,062019_BEL_CBC_T2_23_MCAV,Healthy,2022,3.25,UML_NARWHAL_R2_B33,11_5_2024,2_55,
112,062019_BEL_CBC_T2_25_PAST,Healthy,8_19_2024,1.88,"UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,2_63,
113,062019_BEL_CBC_T2_26_SSID,Healthy,1_13_2025,15.1,UML_NARWHAL_R2_B15,,2_72,
114,062019_BEL_CBC_T3_1_MCAV,Healthy,6_13_2022,12.3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B35",10_30_24,3_2,
115,062019_BEL_CBC_T3_16_MCAV,Healthy,2022,13.6,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33",10_30_24,3_21,
116,062019_BEL_CBC_T3_27_SSID,Healthy,12_3_2024,RECHECK,UML_NARWHAL_R2_B14,,3_33,
117,062019_BEL_CBC_T3_31_PAST,Healthy,2022,3.18,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B26, UML_NARWHAL_R2_B34",10_30_24,3_34,
118,062019_BEL_CBC_T3_4_PAST,Healthy,9_11_2024,33.7,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_6_2024,3_6,
119,062019_BEL_CBC_T3_5_SSID,Healthy,12_3_2024,30.6,UML_NARWHAL_R2_B14,,3_5,
120,062019_BEL_CBC_T3_7_PAST,Healthy,6_17_2022,7.28,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35",10_30_24,3_10,
121,062019_BEL_CBC_T3_8_MCAV,Healthy,2022,13.3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35",11_5_2024,3_14,
122,062024_BEL_CBC_T1_1341_SSID,Diseased_Margin,11_4_2024,3.76,UML_NARWHAL_R2_B11,,1_3,
123,062024_BEL_CBC_T1_1344_SSID,Diseased_Tissue,9_10_2024,19.8,UML_NARWHAL_R2_B11,,1_3,
124,062024_BEL_CBC_T1_1347_OANN,Healthy,12_4_2024,10.7,UML_NARWHAL_R2_B15,,1_25,
125,062024_BEL_CBC_T1_1350_PSTR,Healthy,12_4_2024,18.7,UML_NARWHAL_R2_B15,,1_12,
126,062024_BEL_CBC_T1_1353_MCAV,Healthy,12_4_2024,39.6,UML_NARWHAL_R2_B15,,1_24,
127,062024_BEL_CBC_T1_1356_PAST,Healthy,12_4_2024,5,UML_NARWHAL_R2_B15,,1_2,
128,062024_BEL_CBC_T2_1369_SSID,Diseased_Tissue,9_10_2024,21,UML_NARWHAL_R2_B11,,2_72,
129,062024_BEL_CBC_T2_1369_SSID,Healthy,12_4_2024,29.7,UML_NARWHAL_R2_B15,,2_72,
130,062024_BEL_CBC_T2_1372_OFAV,Healthy,12_4_2024,98.6,UML_NARWHAL_R2_B15,,2_76,
131,062024_BEL_CBC_T2_1375_SSID,Healthy,12_4_2024,71,UML_NARWHAL_R2_B15,,2_73,
132,062024_BEL_CBC_T2_1378_PAST,Healthy,12_4_2024,27.6,UML_NARWHAL_R2_B15,,2_68,
133,062024_BEL_CBC_T2_1381_SSID,Diseased_Tissue,9_10_2024,36,UML_NARWHAL_R2_B11,,2_99,
134,062024_BEL_CBC_T2_1381_SSID,Healthy,12_4_2024,39.7,UML_NARWHAL_R2_B15,,2_99,
135,062024_BEL_CBC_T2_1384_MCAV,Healthy,12_4_2024,24.1,UML_NARWHAL_R2_B15,,2_55,
136,062024_BEL_CBC_T2_1387_OFAV,Healthy,12_4_2024,4.62,UML_NARWHAL_R2_B15,,2_79,
137,062024_BEL_CBC_T2_1393_PAST,Healthy,12_4_2024,42.9,UML_NARWHAL_R2_B15,,2_57,
138,062024_BEL_CBC_T2_1396_MCAV,Healthy,12_4_2024,47.5,UML_NARWHAL_R2_B15,,2_69,
139,062024_BEL_CBC_T2_1399_PAST,Healthy,12_4_2024,17.4,UML_NARWHAL_R2_B15,,2_63,
140,062024_BEL_CBC_T2_1402_MCAV,Healthy,12_4_2024,26.4,UML_NARWHAL_R2_B15,,2_60,
141,062024_BEL_CBC_T3_1412_MCAV,Diseased_Margin,11_4_2024,3.08,UML_NARWHAL_R2_B11,,3_2,
142,062024_BEL_CBC_T3_1415_MCAV,Diseased_Tissue,9_10_2024,42,UML_NARWHAL_R2_B11,,3_2,
143,062024_BEL_CBC_T3_1418_SSID,Healthy,1_13_2025,41.4,UML_NARWHAL_R2_B15,,3_5,
144,062024_BEL_CBC_T3_1421_OFAV,Healthy,1_13_2025,69.4,UML_NARWHAL_R2_B15,,3_38,
145,062024_BEL_CBC_T3_1424_PAST,Healthy,12_5_2024,5.1,UML_NARWHAL_R2_B15,,3_10,
146,062024_BEL_CBC_T3_1427_MCAV,Healthy,1_13_2025,36,UML_NARWHAL_R2_B15,,3_14,
147,062024_BEL_CBC_T3_1430_PSTR,Healthy,1_13_2025,9.52,UML_NARWHAL_R2_B15,,3_20,
148,062024_BEL_CBC_T3_1433_PSTR,Healthy,12_5_2024,18.6,UML_NARWHAL_R2_B15,,3_70,
149,062024_BEL_CBC_T3_1436_MCAV,Healthy,12_5_2024,64.4,UML_NARWHAL_R2_B15,,3_21,
150,062024_BEL_CBC_T3_1439_OFAV ,Healthy,1_13_2025,52.6,UML_NARWHAL_R2_B15,,3_66,
151,062024_BEL_CBC_T3_1442_OFAV,Healthy,1_13_2025,71.4,UML_NARWHAL_R2_B15,,3_39,
152,062024_BEL_CBC_T3_1445_SSID,Healthy,1_13_2025,86.6,UML_NARWHAL_R2_B15,,3_33,
153,062024_BEL_CBC_T3_1448_PAST,Healthy,1_13_2025,35,UML_NARWHAL_R2_B15,,3_34,
154,062024_BEL_CBC_T4_1458_MCAV,Healthy,1_13_2025,20.6,UML_NARWHAL_R2_B15,,4_30,
155,062024_BEL_CBC_T4_1461_OFAV,Healthy,12_5_2024,25.5,UML_NARWHAL_R2_B15,,4_78,
156,062024_BEL_CBC_T4_1464_MCAV,Healthy,12_5_2024,6.74,UML_NARWHAL_R2_B15,,4_76,
157,062024_BEL_CBC_T4_1467_MCAV,Healthy,1_13_2025,21.8,UML_NARWHAL_R2_B15,,4_28,
158,062024_BEL_CBC_T4_1470_PSTR,Healthy,1_13_2025,21.4,UML_NARWHAL_R2_B15,,4_98,
159,062024_BEL_CBC_T4_1473_PSTR,Healthy,1_13_2025,10,UML_NARWHAL_R2_B15,,4_79,
160,082024_BEL_CBC_T1_1479_PAST,Healthy,1_14_2025,62.6,UML_NARWHAL_R2_B15,,1_2,
161,082024_BEL_CBC_T1_1480_SSID,Healthy,1_14_2025,43.6,UML_NARWHAL_R2_B15,,1_3,
162,082024_BEL_CBC_T1_1481_PSTR,Healthy,1_14_2025,45.8,UML_NARWHAL_R2_B15,,1_12,
163,082024_BEL_CBC_T1_1482_OANN,Healthy,1_14_2025,15.9,UML_NARWHAL_R2_B15,,1_25,
164,082024_BEL_CBC_T1_1483_MCAV,Healthy,1_14_2025,58.4,UML_NARWHAL_R2_B15,,1_24,
165,082024_BEL_CBC_T2_1507_OFAV,Healthy,1_14_2025,55.6,UML_NARWHAL_R2_B15,,2_76,
